,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,Date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered
87,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
88,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
89,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
90,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
91,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
92,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
93,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
94,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
95,2021-01-27,AR,418,402979,0,67,72051,0,0,2021-01-27,AR,557,39246,853,7896,1410,47142
96,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,9720,5428856,18189,4640500,27909,10069356
97,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,4955,5249159,10174,4244260,15129,9493419
98,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,33435,4859247,13441,3713918,46876,8573165
99,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,7475,4237360,32112,3153091,39587,7390451
100,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,11027,4014991,54610,2044934,65637,6059925
101,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,29746,3529582,33243,926087,62989,4455669
102,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,20902,2346737,2904,584528,23806,2931265
103,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,11545,1326469,10742,380910,22287,1707379
104,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,21410,988431,740,129174,22150,1117605
105,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,8064,435557,454,96544,8518,532101
106,2021-01-27,AR,328,413961,0,43,73541,0,0,2021-01-27,AR,2054,132951,280,42911,2334,175862
