,Date,location_key,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,new_intensive_care_patients,cumulative_intensive_care_patients,current_intensive_care_patients,current_ventilator_patients,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
75,2021-06-13,AR,853,350581,0,212,61810,0,0,5689,1910376,6469,489067,12158,2399443,10278,572,0,29025,4209856,92775,0,12361455
76,2021-07-03,AR,679,368008,0,141,65524,0,0,35220,2616956,11966,646445,47186,3263401,12766,373,0,42474,4596168,101851,0,13485552
77,2021-04-26,AR,1016,300032,0,254,50555,0,0,23952,967021,793,128434,24745,1095455,26255,469,0,65601,2957611,67237,0,9280515
78,2021-09-10,AR,377,408706,0,55,72897,0,0,6841,4126920,40650,2661541,47491,6788461,2358,74,0,48964,5251002,115393,0,17261428
79,2021-05-10,AR,1063,312676,0,241,53391,0,0,11152,1150881,9395,216601,20547,1367482,27596,471,0,63632,3251740,73645,0,10071531
80,2021-05-28,AR,1287,332732,0,303,57785,0,0,17051,1343520,16537,397447,33588,1740967,38944,601,0,87687,3802086,83113,0,11335560
81,2021-11-05,AR,189,423875,0,25,74718,0,0,19611,5057159,15836,3845345,35447,8902504,1218,6,0,30529,5315718,116687,0,19103241
82,2021-02-05,AR,494,253190,0,109,41117,0,0,1949,45494,2706,26833,4655,72327,7685,166,0,39264,2004147,52456,0,5736589
83,2021-08-01,AR,454,388786,0,96,69565,0,0,11204,3656428,13363,1048920,24567,4705348,5287,195,0,27829,4993243,110081,0,15103812
84,2021-12-01,AR,251,429637,0,25,75471,0,0,11303,5281234,17926,4317589,29229,9598823,2387,11,0,33121,5353469,116981,0,19787216
85,2021-03-21,AR,373,272911,0,83,44928,0,0,2469,372484,160,88438,2629,460922,3209,91,0,18386,2278146,57972,0,7269765
86,2021-09-16,AR,321,410704,0,45,73150,0,0,5319,4154361,44365,2839403,49684,6993764,2039,49,0,43931,5261858,115729,0,17499286
87,2021-02-10,AR,482,255530,0,106,41572,0,0,1570,51874,681,30568,2251,82442,7118,156,0,43321,2034429,53175,0,5915468
88,2021-01-19,AR,597,244398,0,121,39292,0,0,1146,34470,742,753,1888,35223,12035,170,0,48327,1860929,49485,0,5060039
89,2021-05-27,AR,1314,331445,0,245,57482,0,0,11545,1326469,10742,380910,22287,1707379,39901,628,0,86684,3763142,82512,0,11247873
90,2021-10-05,AR,273,416106,0,41,73801,0,0,15670,4302614,22957,3374762,38627,7677376,1067,15,0,38524,5284453,116295,0,18152974
91,2021-05-16,AR,903,318624,0,190,54670,0,0,3405,1188691,5587,302126,8992,1490817,13011,455,0,31040,3398045,76449,0,10427405
92,2021-07-02,AR,858,367329,0,162,65383,0,0,49047,2581736,11998,634479,61045,3216215,18927,399,0,64848,4583402,101478,0,13443078
93,2021-08-03,AR,719,390283,0,126,69817,0,0,29869,3711593,28367,1111866,58236,4823459,14255,191,0,72783,5023056,110459,0,15250599
94,2021-02-01,AR,526,251145,0,104,40693,0,0,279,39973,2317,16607,2596,56580,8934,161,0,45965,1970544,51810,0,5562127
95,2021-08-20,AR,494,399733,0,80,71537,0,0,17074,3939951,43573,1745564,60647,5685515,7300,147,0,66131,5170572,113428,0,16233135
96,2021-12-21,AR,264,434020,0,38,76120,0,0,7734,5404956,16105,4593266,23839,9998222,11925,15,0,57037,5434829,117317,0,20469087
97,2021-03-14,AR,400,269578,0,83,44269,0,0,1094,291147,156,66006,1250,357153,3079,108,0,19281,2227958,57162,0,7024331
98,2021-01-24,AR,394,247022,0,89,39849,0,0,11,36913,30,4942,41,41855,3769,192,0,21301,1903110,50450,0,5241727
99,2021-12-22,AR,233,434253,0,41,76161,0,0,7477,5412433,15555,4608821,23032,10021254,16832,22,0,69833,5451661,117339,0,20538920
100,2021-01-22,AR,524,246200,0,94,39660,0,0,731,36737,526,4486,1257,41223,9963,184,0,41190,1892665,50082,0,5189604
101,2021-02-06,AR,429,253619,0,116,41233,0,0,458,45952,1095,27928,1553,73880,5117,147,0,29780,2009264,52603,0,5766369
102,2021-03-12,AR,479,268788,0,102,44088,0,0,15936,287399,5859,62222,21795,349621,7892,146,0,40583,2219693,56940,0,6975585
103,2021-06-19,AR,791,356192,0,175,63032,0,0,30432,2104442,3195,542856,33627,2647298,13715,525,0,41236,4341508,95998,0,12739166
104,2021-05-15,AR,935,317721,0,210,54480,0,0,5763,1185286,7114,296539,12877,1481825,20514,466,0,51300,3385034,75994,0,10396365
105,2021-05-24,AR,1112,327636,0,246,56701,0,0,10027,1296619,3073,357519,13100,1654138,30093,557,0,64666,3656884,80688,0,11023376
106,2021-07-24,AR,603,383951,0,101,68636,0,0,27249,3447729,6502,868664,33751,4316393,9719,263,0,44911,4900595,108358,0,14680784
107,2021-09-28,AR,263,414224,0,28,73569,0,0,8356,4245716,32809,3185900,41165,7431616,1328,24,0,42253,5277464,116160,0,17925716
108,2021-10-18,AR,287,419355,0,44,74189,0,0,41165,4539103,16980,3586738,58145,8125841,1218,10,0,40457,5295069,116486,0,18536266
109,2021-12-28,AR,396,435841,0,63,76406,0,0,9912,5438768,16785,4657285,26697,10096053,50165,34,0,127203,5595001,117496,0,20967328
110,2021-11-07,AR,164,424183,0,23,74756,0,0,8427,5074187,7538,3864045,15965,8938232,576,8,0,13277,5317143,116703,0,19135845
111,2021-11-24,AR,244,427977,0,30,75252,0,0,9655,5227778,25720,4187724,35375,9415502,2104,18,0,30839,5340256,116885,0,19594924
112,2021-07-01,AR,846,366471,0,160,65221,0,0,45565,2532689,17733,622481,63298,3155170,19507,364,0,60371,4564475,101079,0,13378230
113,2021-10-22,AR,240,420431,0,31,74310,0,0,48411,4713881,16116,3650189,64527,8364070,1331,10,0,36625,5300138,116541,0,18685152
114,2021-06-02,AR,1257,338692,0,281,59138,0,0,35964,1489738,7291,431754,43255,1921492,33000,639,0,80743,3947455,86173,0,11671996
115,2021-09-29,AR,310,414534,0,33,73602,0,0,7177,4252893,29483,3215383,36660,7468276,1304,25,0,38720,5278768,116185,0,17964436
116,2021-11-29,AR,242,429118,0,32,75415,0,0,8800,5260217,24742,4276394,33542,9536611,2313,14,0,31948,5348940,116954,0,19723636
117,2021-03-24,AR,441,274478,0,96,45220,0,0,5478,402059,196,92315,5674,494374,7130,150,0,28276,2306044,58405,0,7383786
118,2021-01-23,AR,428,246628,0,100,39760,0,0,165,36902,426,4912,591,41814,6676,176,0,30822,1899341,50258,0,5220426
119,2021-03-09,AR,459,267295,0,93,43799,0,0,16246,228082,304,51064,16550,279146,7402,136,0,37675,2195893,56548,0,6858321
120,2021-07-18,AR,559,379637,0,112,67835,0,0,18693,3201838,5141,785026,23834,3986864,5669,273,0,27071,4818292,106712,0,14320260
121,2021-04-28,AR,1023,301977,0,209,50972,0,0,19686,1008117,3084,132258,22770,1140375,23912,443,0,64004,3006396,68147,0,9411693
122,2021-09-12,AR,256,409226,0,32,72970,0,0,298,4130723,872,2686606,1170,6817329,772,73,0,18601,5253210,115516,0,17313116
123,2021-03-10,AR,538,267833,0,99,43898,0,0,22064,250146,890,51954,22954,302100,7990,124,0,39072,2203883,56672,0,6897393
124,2021-03-15,AR,546,270124,0,110,44379,0,0,15189,306336,3941,69947,19130,376283,8123,132,0,39085,2236081,57294,0,7063416
125,2021-07-31,AR,545,388332,0,121,69469,0,0,16983,3645224,22142,1035557,39125,4680781,8643,197,0,45555,4987956,109886,0,15075983
126,2021-03-26,AR,553,275628,0,120,45473,0,0,12412,427493,1495,96090,13907,523583,13069,132,0,50192,2330643,58670,0,7479157
127,2021-09-04,AR,312,406418,0,45,72549,0,0,5812,4087780,39069,2387531,44881,6475311,2060,71,0,31168,5235594,114984,0,17000333
128,2021-12-26,AR,254,435086,0,31,76283,0,0,1406,5419136,2082,4622311,3488,10041447,14715,21,0,43517,5507415,117431,0,20738174
129,2021-10-23,AR,196,420627,0,31,74341,0,0,21987,4735868,8542,3658731,30529,8394599,737,12,0,21643,5300875,116553,0,18706795
130,2021-06-08,AR,1170,345476,0,246,60637,0,0,47043,1750318,4766,458702,51809,2209020,29839,637,0,75779,4102714,89915,0,12070290
131,2021-04-04,AR,609,280621,0,123,46534,0,0,6988,545501,13,99128,7001,644629,9129,185,0,34389,2441876,60069,0,7858029
132,2021-04-30,AR,863,303762,0,189,51370,0,0,11694,1037320,4458,141046,16152,1178366,23179,464,0,62201,3053082,69061,0,9543299
133,2021-09-03,AR,373,406106,0,57,72504,0,0,9145,4081968,52498,2348462,61643,6430430,3818,98,0,51483,5233534,114913,0,16969165
134,2021-12-29,AR,368,436209,0,50,76456,0,0,10075,5448843,16203,4673488,26278,10122331,59711,33,0,149689,5654712,117529,0,21117017
135,2021-02-19,AR,460,259358,0,92,42334,0,0,8183,71333,1030,37877,9213,109210,7480,133,0,44341,2087057,54352,0,6254330
136,2021-03-02,AR,495,264238,0,65,43203,0,0,9465,152502,1013,45054,10478,197556,7244,141,0,37843,2151986,55716,0,6633764
137,2021-03-25,AR,597,275075,0,133,45353,0,0,13022,415081,2280,94595,15302,509676,11530,133,0,45179,2317574,58538,0,7428965
138,2021-04-11,AR,687,286010,0,137,47623,0,0,6441,710509,182,106317,6623,816826,11609,207,0,35620,2598459,61624,0,8328004
139,2021-04-20,AR,991,294515,0,212,49366,0,0,15826,852227,2023,121847,17849,974074,29262,368,0,75870,2823689,64643,0,8933951
140,2021-06-26,AR,785,362276,0,156,64345,0,0,33470,2325835,10459,581624,43929,2907459,15610,408,0,44721,4472968,99129,0,13110772
141,2021-07-04,AR,687,368695,0,145,65669,0,0,23443,2640399,2959,649404,26402,3289803,7675,350,0,25041,4603843,102201,0,13510593
142,2021-09-21,AR,349,412352,0,42,73343,0,0,6794,4182385,38043,3012726,44837,7195111,1414,39,0,39323,5268919,115949,0,17678222
143,2021-10-10,AR,198,417249,0,26,73939,0,0,1362,4330292,8780,3459309,10142,7789601,382,15,0,16461,5287720,116371,0,18280543
144,2021-10-29,AR,270,422208,0,34,74528,0,0,28163,4919485,13838,3743524,42001,8663009,1258,11,0,34036,5308063,116629,0,18905801
145,2021-11-10,AR,237,424983,0,31,74856,0,0,12481,5124564,16531,3910235,29012,9034799,1450,9,0,32232,5321240,116733,0,19231303
146,2021-03-30,AR,613,277789,0,136,45916,0,0,22834,479095,719,97938,23553,577033,15979,146,0,53906,2376756,59233,0,7642497
147,2021-07-25,AR,505,384456,0,108,68744,0,0,17699,3465428,1261,869925,18960,4335353,5729,217,0,29127,4906324,108575,0,14709911
148,2021-08-28,AR,392,403371,0,69,72120,0,0,6165,4021156,28098,2073032,34263,6094188,2988,123,0,38790,5209494,114336,0,16661059
149,2021-08-30,AR,561,404311,0,64,72238,0,0,12839,4037168,46464,2140034,59303,6177202,5524,103,0,61433,5216764,114541,0,16747264
150,2021-10-17,AR,212,419068,0,19,74145,0,0,7414,4497938,7494,3569758,14908,8067696,338,21,0,15388,5293851,116476,0,18495809
151,2021-03-05,AR,418,265658,0,62,43468,0,0,13985,189124,1880,49872,15865,238996,7199,140,0,36457,2173809,56090,0,6742786
152,2021-03-18,AR,477,271625,0,84,44656,0,0,13269,352011,5982,81490,19251,433501,7940,115,0,38658,2260755,57630,0,7182761
